Epoch 89, Train Loss: 0.0306231, Train Accuracy: 99.2583%, Test Loss: 0.0934136, Test Accuracy: 97.13%
Epoch 90, Train Loss: 0.0299546, Train Accuracy: 99.2983%, Test Loss: 0.0938593, Test Accuracy: 97.05%
Epoch 91, Train Loss: 0.0293402, Train Accuracy: 99.3267%, Test Loss: 0.0894384, Test Accuracy: 97.24%
Epoch 92, Train Loss: 0.0295493, Train Accuracy: 99.305%, Test Loss: 0.0877427, Test Accuracy: 97.39%
Epoch 93, Train Loss: 0.0301871, Train Accuracy: 99.2817%, Test Loss: 0.0874431, Test Accuracy: 97.29%
Epoch 94, Train Loss: 0.0294622, Train Accuracy: 99.3017%, Test Loss: 0.0919131, Test Accuracy: 97.2%
Epoch 95, Train Loss: 0.0294903, Train Accuracy: 99.3117%, Test Loss: 0.0959182, Test Accuracy: 97.17%
Epoch 96, Train Loss: 0.0297328, Train Accuracy: 99.295%, Test Loss: 0.0927202, Test Accuracy: 97.19%
Epoch 97, Train Loss: 0.0294701, Train Accuracy: 99.2967%, Test Loss: 0.0943146, Test Accuracy: 97.31%
Epoch 98, Train Loss: 0.0296424, Train Accuracy: 99.2667%, Test Loss: 0.0915573, Test Accuracy: 97.26%
Epoch 99, Train Loss: 0.0292617, Train Accuracy: 99.3117%, Test Loss: 0.0880145, Test Accuracy: 97.35%
Epoch 100, Train Loss: 0.028628, Train Accuracy: 99.345%, Test Loss: 0.0909077, Test Accuracy: 97.23%
