Epoch 71, Train Loss: 0.0609824, Train Accuracy: 98.04%, Test Loss: 0.175834, Test Accuracy: 96.14%
Epoch 72, Train Loss: 0.0582508, Train Accuracy: 98.0417%, Test Loss: 0.171096, Test Accuracy: 96.19%
Epoch 73, Train Loss: 0.0588436, Train Accuracy: 98.15%, Test Loss: 0.165792, Test Accuracy: 96.36%
Epoch 74, Train Loss: 0.0558635, Train Accuracy: 98.1667%, Test Loss: 0.158997, Test Accuracy: 96.48%
Epoch 75, Train Loss: 0.0591815, Train Accuracy: 98.175%, Test Loss: 0.169369, Test Accuracy: 96.24%
Epoch 76, Train Loss: 0.0551893, Train Accuracy: 98.2333%, Test Loss: 0.194085, Test Accuracy: 96.09%
Epoch 77, Train Loss: 0.0583235, Train Accuracy: 98.2%, Test Loss: 0.173472, Test Accuracy: 96.35%
Epoch 78, Train Loss: 0.0576446, Train Accuracy: 98.2433%, Test Loss: 0.190075, Test Accuracy: 96.08%
Epoch 79, Train Loss: 0.0599495, Train Accuracy: 98.135%, Test Loss: 0.171973, Test Accuracy: 96.04%
Epoch 80, Train Loss: 0.0561881, Train Accuracy: 98.1833%, Test Loss: 0.174965, Test Accuracy: 96.24%
Epoch 81, Train Loss: 0.0561706, Train Accuracy: 98.245%, Test Loss: 0.184298, Test Accuracy: 96.01%
Epoch 82, Train Loss: 0.0529355, Train Accuracy: 98.2617%, Test Loss: 0.175077, Test Accuracy: 96.23%
Epoch 83, Train Loss: 0.0555798, Train Accuracy: 98.2017%, Test Loss: 0.186201, Test Accuracy: 96.04%
Epoch 84, Train Loss: 0.0566286, Train Accuracy: 98.2033%, Test Loss: 0.183247, Test Accuracy: 96.08%
Epoch 85, Train Loss: 0.054902, Train Accuracy: 98.24%, Test Loss: 0.165605, Test Accuracy: 96.29%
Epoch 86, Train Loss: 0.0570724, Train Accuracy: 98.18%, Test Loss: 0.187654, Test Accuracy: 96.18%
Epoch 87, Train Loss: 0.0532376, Train Accuracy: 98.345%, Test Loss: 0.181929, Test Accuracy: 96.08%
Epoch 88, Train Loss: 0.0538154, Train Accuracy: 98.2333%, Test Loss: 0.185498, Test Accuracy: 96.05%
